Listing Name,Address,Category,Description
Byrnes Street Tennis Courts,"7A Byrnes St, South Granville NSW 2142",Sport,"Tennis is a sport everyone can enjoy, and it's easy to play at Byrnes Street Tennis Courts. We encourage you to book a court, grab a racquet and have a hit with your family and friends."
Alpha Road Park,Alpha Road Park Greystanes New South Wales 2145,Sport,"Alpha Road Park is suitable for soccer, football, vigoro, cricket and cricket practice. The Park includes a playground, shade, parking, toilets, change rooms, a kiosk and a storage area for equipment."
CV Kelly Park,48 Oramzi Road Girraween New South Wales 2145,Sport,"C V Kelly Park is suitable for personal training, soccer, football and athletics. The Park includes shade, parking, toilets, change rooms, club room, kiosk, spectator viewing and a playground."
Moore Park Synthetic Field,"Lang Rd, Moore Park NSW 2021",Sport,"Our all-weather field is a state-of-the-art synthetic field in Sydney. When it comes to safety, durability and quality, you wouldn't go anywhere else!"
Centennial Parklands Sports Centre,"Cnr Anzac Parade &, Lang Rd, Moore Park NSW 2021",Sport,"Parkland Sport’s All Weather Field is a state-of-the-art synthetic field in Sydney. The FIFA, ARU NRL International Certificate All-Weather Field is located at Centennial Parklands Sports Centre. When it comes to performance, safety, durability and quality, this Soccer, Rugby, AFL and Rugby League is the best surface in Sydney and the number one choice when looking to hire a field. The All Weather Field has the advantage of similar playing characteristics as natural grass, with the added benefit of our field being available for hire for matches and training all year round, even in poor weather conditions. Lighting is available on these fields, as well as changing rooms and toilets within the Centennial Parklands Sports Centre complex."
Shangri-La Sydney,"76 Cumberland St, The Rocks NSW 2000",Accommodation,"Enjoy world-class service amidst tranquil surroundings, coupled with inspirational design and transformative experiences in some of the world's finest urban addresses and resort destinations."
Sofitel,"Sofitel Sydney Darling Harbour, 12 Darling Dr, Sydney NSW 2000",Accommodation,"Amidst the vibrant bustle of the Sydney CBD, Sofitel Sydney Wentworth offers a luxury escape without equal. Experience Sydney's iconic hotel that combines French elegance and traditions with sophisticated comfort, creating the world class 5-star destination for the most discerning travellers."
Hilton,"488 George Street, Sydney",Accommodation,"Host an intimate meeting, large conference, or exclusive event in one of our unique venues. Impress your guests with exemplary service, creative catering, and outstanding facilities."
Meriton,"330 Church St, Parramatta NSW 2150",Accommodation,"Founded in 2003 as Meriton Serviced Apartments, Meriton Suites has undergone tremendous growth in its collection of luxury apartment-style hotel accommodation. With 19 establishments and a remarkable total of 5,163 suites, we have become Australia’s largest owner of hotel rooms and amongst one of the country’s largest hotel operators; delivering first class, professional services in conjunction with sophisticated and modern facilities. Appointed with superior furnishings, our fully-equipped suites are up to three times larger than the typical hotel room and feature all the comforts of a home away from home. Self-contained and featuring a gourmet-kitchen, supplied with all the necessary kitchenware, as well as generous open-plan living spaces, internal laundry facilities and refreshing designer skin and haircare amenities, our guests will be guaranteed the perfect accommodation experience."
Four Seasons,"199 George St, Sydney NSW 2000",Accommodation,"Plush stylish rooms with marble bathrooms offer city or harbour views, plus TVs and free Wi-Fi. They also have executive-style desks, minibars and tea and coffeemakers. Upgrades add corner rooms with panoramic views, 42-inch flat-screen TVs and iPod docks. Suites offer sitting areas and soaking tubs. Both club rooms and penthouse suites offer access to a private lounge that provides free breakfast."
